key_disp,resp_disp,key_inp,loop_checkKeyMap.thisRepN,loop_checkKeyMap.thisTrialN,loop_checkKeyMap.thisN,loop_checkKeyMap.thisIndex,loop_block.thisRepN,loop_block.thisTrialN,loop_block.thisN,loop_block.thisIndex,trialOrderFile,loop_trials.thisRepN,loop_trials.thisTrialN,loop_trials.thisN,loop_trials.thisIndex,str_name,str_familiarity,str_valence,str_block,key_correct,time_expBegin,txt_checkFiles_start.started,txt_checkFiles_start.stopped,txt_checkFiles_end.started,txt_checkFiles_end.stopped,key_checkFilesCompleteAccept.keys,key_checkFilesCompleteAccept.rt,key_checkFilesCompleteAccept.started,key_checkFilesCompleteAccept.stopped,txt_resFileClashWarn.started,txt_resFileClashWarn.stopped,key_resp_resClash.keys,key_resp_resClash.started,key_resp_resClash.stopped,str_keyInst.started,str_keyInst.stopped,key_startTask.keys,key_startTask.rt,key_startTask.started,key_startTask.stopped,txt_checkKeyMap.started,txt_checkKeyMap.stopped,key_resp_checkKeyMap.keys,key_resp_checkKeyMap.rt,key_resp_checkKeyMap.started,key_resp_checkKeyMap.stopped,text_checkKeyMapComplete.started,text_checkKeyMapComplete.stopped,key_beginTrials.keys,key_beginTrials.rt,key_beginTrials.started,key_beginTrials.stopped,text_getReady.started,text_getReady.stopped,Study Code,Participant ID,Researcher Name,Research Visit Number,Task Version Number,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,9.200070053339005e-06,16.436145299929194,None,18.421300199930556,None,space,4.001007899991237,18.421300199930556,None,,,,,,,,,,,,,,,,,,,,,,,,,,11,99,marlene,1,1,2024_Aug_01_2053,EMEM_140222,2021.2.3,59.87704848043905,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,None,None,None,None,,,,,,,,,,,,,,,,,,,,,11,99,marlene,1,1,2024_Aug_01_2053,EMEM_140222,2021.2.3,59.87704848043905,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.49243410001509,None,space,5.368230800027959,22.49243410001509,None,,,,,,,,,,,,,,,11,99,marlene,1,1,2024_Aug_01_2053,EMEM_140222,2021.2.3,59.87704848043905,
1,SIM,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.886022199993022,None,1,1.6725067000370473,27.886022199993022,None,,,,,,,,,11,99,marlene,1,1,2024_Aug_01_2053,EMEM_140222,2021.2.3,59.87704848043905,
0,NÃO,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.580986300017685,None,0,1.1423190999776125,29.580986300017685,None,,,,,,,,,11,99,marlene,1,1,2024_Aug_01_2053,EMEM_140222,2021.2.3,59.87704848043905,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.742450900026597,None,space,6.282275600009598,30.742450900026597,None,,,11,99,marlene,1,1,2024_Aug_01_2053,EMEM_140222,2021.2.3,59.87704848043905,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.04644309997093,None,,,,,,,,,,
