key_disp,resp_disp,key_inp,trialOrderFile,str_name,str_familiarity,str_valence,str_block,key_correct,loop_checkKeyMap.thisRepN,loop_checkKeyMap.thisTrialN,loop_checkKeyMap.thisN,loop_checkKeyMap.thisIndex,loop_block.thisRepN,loop_block.thisTrialN,loop_block.thisN,loop_block.thisIndex,loop_trials.thisRepN,loop_trials.thisTrialN,loop_trials.thisN,loop_trials.thisIndex,time_expBegin,txt_checkFiles_start.started,txt_checkFiles_start.stopped,txt_checkFiles_end.started,txt_checkFiles_end.stopped,key_checkFilesCompleteAccept.keys,key_checkFilesCompleteAccept.rt,key_checkFilesCompleteAccept.started,key_checkFilesCompleteAccept.stopped,txt_resFileClashWarn.started,txt_resFileClashWarn.stopped,key_resp_resClash.keys,key_resp_resClash.started,key_resp_resClash.stopped,str_keyInst.started,str_keyInst.stopped,key_startTask.keys,key_startTask.rt,key_startTask.started,key_startTask.stopped,txt_checkKeyMap.started,txt_checkKeyMap.stopped,key_resp_checkKeyMap.keys,key_resp_checkKeyMap.rt,key_resp_checkKeyMap.started,key_resp_checkKeyMap.stopped,text_checkKeyMapComplete.started,text_checkKeyMapComplete.stopped,key_beginTrials.keys,key_beginTrials.rt,key_beginTrials.started,key_beginTrials.stopped,text_getReady.started,text_getReady.stopped,str_fixationcross.started,str_fixationcross.stopped,im_trialWords.started,im_trialWords.stopped,time_trialBegin,key_respTrial.keys,key_respTrial.corr,key_respTrial.rt,key_respTrial.started,key_respTrial.stopped,time_trialEnd,Study Code,Participant ID,Researcher Name,Research Visit Number,Task Version Number,date,expName,psychopyVersion,frameRate,
,,,stimControl/trialOrder_ver-1_block-1.xlsx,Indelicado,Familiar,negative,1,1,,,,,0,0,0,0,0,7,7,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.30794900003821,57.80805270001292,57.791282900027,58.29111690004356,47.93934019992594,None,0,,57.791282900027,57.30794900003821,51.92455080000218,1,1,1,1,1,2024_Aug_02_1927,EMEM_140222,2021.2.3,60.0284775029457,
,,,stimControl/trialOrder_ver-1_block-1.xlsx,Preconceituoso,Novel,negative,1,0,,,,,0,0,0,0,0,8,8,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.2915248000063,61.79133250005543,61.774643899989314,62.27513560000807,51.92534339998383,None,0,,61.774643899989314,61.2915248000063,55.90798639995046,1,1,1,1,1,2024_Aug_02_1927,EMEM_140222,2021.2.3,60.0284775029457,
,,,stimControl/trialOrder_ver-1_block-1.xlsx,Decisivo,Familiar,positive,1,1,,,,,0,0,0,0,0,9,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.27703730005305,65.7913503999589,65.75793379999232,66.25791629997548,55.908430799958296,None,0,,65.75793379999232,65.27703730005305,59.891475899959914,1,1,1,1,1,2024_Aug_02_1927,EMEM_140222,2021.2.3,60.0284775029457,
,,,stimControl/trialOrder_ver-1_block-1.xlsx,Negligente,Novel,negative,1,0,,,,,0,0,0,0,0,10,10,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.25784670002759,69.75769430003129,69.7409878000617,70.24129499995615,59.8920101999538,None,0,,69.7409878000617,69.25784670002759,63.872873199987225,1,1,1,1,1,2024_Aug_02_1927,EMEM_140222,2021.2.3,60.0284775029457,
,,,stimControl/trialOrder_ver-1_block-1.xlsx,Ganancioso,Novel,negative,1,0,,,,,0,0,0,0,0,11,11,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.24082329997327,73.74127790005878,73.72425480000675,74.22455020004418,63.87310179998167,None,0,,73.72425480000675,73.24082329997327,67.85835879994556,1,1,1,1,1,2024_Aug_02_1927,EMEM_140222,2021.2.3,60.0284775029457,
,,,stimControl/trialOrder_ver-1_block-1.xlsx,Anti-social,Familiar,negative,1,1,,,,,0,0,0,0,0,12,12,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.22428730002139,77.72510120004881,77.70757750002667,78.20772209996358,67.85919959994499,None,0,,77.70757750002667,77.22428730002139,71.84104700002354,1,1,1,1,1,2024_Aug_02_1927,EMEM_140222,2021.2.3,60.0284775029457,
,,,stimControl/trialOrder_ver-1_block-1.xlsx,Gentil,Novel,positive,1,0,,,,,0,0,0,0,0,13,13,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.20787769998424,81.70736130001023,81.69057059998158,82.19055860000663,71.84170829993673,None,0,,81.69057059998158,81.20787769998424,75.8216257999884,1,1,1,1,1,2024_Aug_02_1927,EMEM_140222,2021.2.3,60.0284775029457,
,,,stimControl/trialOrder_ver-1_block-1.xlsx,Insultuoso,Familiar,negative,1,1,,,,,0,0,0,0,0,14,14,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.19023439998273,85.69034009997267,85.67359440005384,86.1734535000287,75.8218152000336,None,0,,85.67359440005384,85.19023439998273,79.80622040003072,1,1,1,1,1,2024_Aug_02_1927,EMEM_140222,2021.2.3,60.0284775029457,
,,,stimControl/trialOrder_ver-1_block-1.xlsx,Intolerante,Novel,negative,1,0,,,,,0,0,0,0,0,15,15,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.17429470003117,89.67507590004243,89.65739309997298,90.15734909998719,79.8066289999988,None,0,,89.65739309997298,89.17429470003117,83.78968589997385,1,1,1,1,1,2024_Aug_02_1927,EMEM_140222,2021.2.3,60.0284775029457,
,,,stimControl/trialOrder_ver-1_block-1.xlsx,Insatisfeito,Familiar,negative,1,1,,,,,0,0,0,0,0,16,16,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.1569897000445,93.65747600002214,93.64084340003319,94.14102490001824,83.79017049993854,None,0,,93.64084340003319,93.1569897000445,87.77362500003073,1,1,1,1,1,2024_Aug_02_1927,EMEM_140222,2021.2.3,60.0284775029457,
