key_disp,resp_disp,key_inp,trialOrderFile,str_name,str_familiarity,str_valence,str_block,key_correct,loop_checkKeyMap.thisRepN,loop_checkKeyMap.thisTrialN,loop_checkKeyMap.thisN,loop_checkKeyMap.thisIndex,loop_block.thisRepN,loop_block.thisTrialN,loop_block.thisN,loop_block.thisIndex,loop_trials.thisRepN,loop_trials.thisTrialN,loop_trials.thisN,loop_trials.thisIndex,time_expBegin,txt_checkFiles_start.started,txt_checkFiles_start.stopped,txt_checkFiles_end.started,txt_checkFiles_end.stopped,key_checkFilesCompleteAccept.keys,key_checkFilesCompleteAccept.rt,key_checkFilesCompleteAccept.started,key_checkFilesCompleteAccept.stopped,txt_resFileClashWarn.started,txt_resFileClashWarn.stopped,key_resp_resClash.keys,key_resp_resClash.started,key_resp_resClash.stopped,str_keyInst.started,str_keyInst.stopped,key_startTask.keys,key_startTask.rt,key_startTask.started,key_startTask.stopped,txt_checkKeyMap.started,txt_checkKeyMap.stopped,key_resp_checkKeyMap.keys,key_resp_checkKeyMap.rt,key_resp_checkKeyMap.started,key_resp_checkKeyMap.stopped,text_checkKeyMapComplete.started,text_checkKeyMapComplete.stopped,key_beginTrials.keys,key_beginTrials.rt,key_beginTrials.started,key_beginTrials.stopped,text_getReady.started,text_getReady.stopped,str_fixationcross.started,str_fixationcross.stopped,im_trialWords.started,im_trialWords.stopped,time_trialBegin,key_respTrial.keys,key_respTrial.corr,key_respTrial.started,key_respTrial.stopped,time_trialEnd,Study Code,Participant ID,Researcher Name,Research Visit Number,Task Version Number,date,expName,psychopyVersion,frameRate,
,,,stimControl/trialOrder_ver-1_block-1.xlsx,Captivating,Novel,positive,1,0,,,,,0,0,0,0,0,7,7,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.53302289999556,63.03315770009067,63.01674820005428,63.51685270003509,46.488091700011864,None,0,63.01674820005428,62.53302289999556,50.46979520004243,11,99,marlene,1,1,2024_Aug_01_2042,EMEM_140222,2021.2.3,60.007548951253106,
,,,stimControl/trialOrder_ver-1_block-1.xlsx,Criminal,Familiar,negative,1,1,,,,,0,0,0,0,0,8,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.5168765000999,67.01689309999347,67.00007110007573,67.50004690000787,50.470538900000975,None,0,67.00007110007573,66.5168765000999,54.45259550004266,11,99,marlene,1,1,2024_Aug_01_2042,EMEM_140222,2021.2.3,60.007548951253106,
,,,stimControl/trialOrder_ver-1_block-1.xlsx,Adaptable,Familiar,positive,1,1,,,,,0,0,0,0,0,9,9,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.50025680009276,71.00000910006929,70.98325390007813,71.48356810002588,54.4532078000484,None,0,70.98325390007813,70.50025680009276,58.43718990008347,11,99,marlene,1,1,2024_Aug_01_2042,EMEM_140222,2021.2.3,60.007548951253106,
,,,stimControl/trialOrder_ver-1_block-1.xlsx,Weak,Familiar,negative,1,1,,,,,0,0,0,0,0,10,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.48320040002,74.9833158000838,74.96648580010515,75.46670000010636,58.43815810000524,None,0,74.96648580010515,74.48320040002,62.41921940003522,11,99,marlene,1,1,2024_Aug_01_2042,EMEM_140222,2021.2.3,60.007548951253106,
,,,stimControl/trialOrder_ver-1_block-1.xlsx,Fun-loving,Novel,positive,1,0,,,,,0,0,0,0,0,11,11,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.46665300009772,78.96661410003435,78.95055720000528,79.44987520005088,62.419869900099,None,0,78.95055720000528,78.46665300009772,66.40244850004092,11,99,marlene,1,1,2024_Aug_01_2042,EMEM_140222,2021.2.3,60.007548951253106,
,,,stimControl/trialOrder_ver-1_block-1.xlsx,Empathetic,Familiar,positive,1,1,,,,,0,0,0,0,0,12,12,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.45006830000784,82.94987650006078,82.93290510005318,83.43311230000108,66.40294020005967,None,0,82.93290510005318,82.45006830000784,70.38621620007325,11,99,marlene,1,1,2024_Aug_01_2042,EMEM_140222,2021.2.3,60.007548951253106,
,,,stimControl/trialOrder_ver-1_block-1.xlsx,Neglectful,Novel,negative,1,0,,,,,0,0,0,0,0,13,13,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.4330569000449,86.93318210006692,86.91632910002954,87.41624080005568,70.38685740006622,None,0,86.91632910002954,86.4330569000449,74.3685161001049,11,99,marlene,1,1,2024_Aug_01_2042,EMEM_140222,2021.2.3,60.007548951253106,
,,,stimControl/trialOrder_ver-1_block-1.xlsx,Educated,Novel,positive,1,0,,,,,0,0,0,0,0,14,14,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.41640410001855,90.91642660007346,90.89973730000202,91.39979960001074,74.36898180004209,None,0,90.89973730000202,90.41640410001855,78.35295200010296,11,99,marlene,1,1,2024_Aug_01_2042,EMEM_140222,2021.2.3,60.007548951253106,
,,,stimControl/trialOrder_ver-1_block-1.xlsx,Prejudiced,Novel,negative,1,0,,,,,0,0,0,0,0,15,15,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.3996786000207,94.90007870004047,94.88292800006457,95.38320180005394,78.35359900002368,None,0,94.88292800006457,94.3996786000207,82.33578800002579,11,99,marlene,1,1,2024_Aug_01_2042,EMEM_140222,2021.2.3,60.007548951253106,
,,,stimControl/trialOrder_ver-1_block-1.xlsx,Ungrateful,Familiar,negative,1,1,,,,,0,0,0,0,0,16,16,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.3830738000106,98.88296479999553,98.86618890007958,99.3663324000081,82.3362472000299,None,0,98.86618890007958,98.3830738000106,86.31932720006444,11,99,marlene,1,1,2024_Aug_01_2042,EMEM_140222,2021.2.3,60.007548951253106,
,,,stimControl/trialOrder_ver-1_block-1.xlsx,Ambitious,Novel,positive,1,0,,,,,0,0,0,0,0,17,17,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.36636790004559,102.86632810009178,102.84954880003352,103.34969120007008,86.31994430010673,None,0,102.84954880003352,102.36636790004559,90.30277280008886,11,99,marlene,1,1,2024_Aug_01_2042,EMEM_140222,2021.2.3,60.007548951253106,
,,,stimControl/trialOrder_ver-1_block-1.xlsx,Stingy,Novel,negative,1,0,,,,,0,0,0,0,0,18,18,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.34959780005738,106.8496922000777,106.83275370008778,107.33293440006673,90.30375310010277,None,0,106.83275370008778,106.34959780005738,94.28685150004458,11,99,marlene,1,1,2024_Aug_01_2042,EMEM_140222,2021.2.3,60.007548951253106,
,,,stimControl/trialOrder_ver-1_block-1.xlsx,Perceptive,Familiar,positive,1,1,,,,,0,0,0,0,0,19,19,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.33263680001255,110.83258290006779,110.81604970002081,111.31645210005809,94.28749600006267,None,0,110.81604970002081,110.33263680001255,98.26886320009362,11,99,marlene,1,1,2024_Aug_01_2042,EMEM_140222,2021.2.3,60.007548951253106,
,,,stimControl/trialOrder_ver-1_block-1.xlsx,Progressive,Familiar,positive,1,1,,,,,0,0,0,0,0,20,20,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114.31619500007946,114.81624980003107,114.7994535000762,115.29962840001099,98.26942200004123,None,0,114.7994535000762,114.31619500007946,102.25218770001084,11,99,marlene,1,1,2024_Aug_01_2042,EMEM_140222,2021.2.3,60.007548951253106,
