key_disp,resp_disp,key_inp,loop_checkKeyMap.thisRepN,loop_checkKeyMap.thisTrialN,loop_checkKeyMap.thisN,loop_checkKeyMap.thisIndex,time_expBegin,txt_checkFiles_start.started,txt_checkFiles_start.stopped,txt_checkFiles_end.started,txt_checkFiles_end.stopped,key_checkFilesCompleteAccept.keys,key_checkFilesCompleteAccept.rt,key_checkFilesCompleteAccept.started,key_checkFilesCompleteAccept.stopped,txt_resFileClashWarn.started,txt_resFileClashWarn.stopped,key_resp_resClash.keys,key_resp_resClash.started,key_resp_resClash.stopped,str_keyInst_pract.started,str_keyInst_pract.stopped,key_startTask_pract.keys,key_startTask_pract.rt,key_startTask_pract.started,key_startTask_pract.stopped,txt_checkKeyMap.started,txt_checkKeyMap.stopped,key_resp_checkKeyMap.keys,key_resp_checkKeyMap.rt,key_resp_checkKeyMap.started,key_resp_checkKeyMap.stopped,Study Code,Participant ID,Researcher Name,Research Visit Number,Task Version Number,date,expName,psychopyVersion,frameRate,
,,,,,,,8.200062438845634e-06,9.447377000004053,None,11.443350299960002,None,space,0.8930707999970764,11.443350299960002,None,,,,,,,,,,,,,,,,,,11,11,1,1,1,2024_Aug_02_1542,FDOT_140222,2021.2.3,59.88357433270938,
,,,,,,,,,,,,,,,,None,None,None,None,None,,,,,,,,,,,,,11,11,1,1,1,2024_Aug_02_1542,FDOT_140222,2021.2.3,59.88357433270938,
,,,,,,,,,,,,,,,,,,,,,12.393833499983884,None,space,3.9893707999726757,12.393833499983884,None,,,,,,,11,11,1,1,1,2024_Aug_02_1542,FDOT_140222,2021.2.3,59.88357433270938,
A,..,a,0,0,0,0,,,,,,,,,,,,,,,,,,,,,16.400314099970274,None,a,1.7697127999272197,16.400314099970274,None,11,11,1,1,1,2024_Aug_02_1542,FDOT_140222,2021.2.3,59.88357433270938,
K,:,k,0,1,1,1,,,,,,,,,,,,,,,,,,,,,18.19814170000609,None,k,0.8823258000193164,18.19814170000609,None,11,11,1,1,1,2024_Aug_02_1542,FDOT_140222,2021.2.3,59.88357433270938,
