key_disp,resp_disp,key_inp,trialOrderFile,im_stimNo,im_face_name_top,im_face_name_bottom,im_face_path,im_face_mask_path,im_dot_path,im_emo_top,im_emo_bottom,im_dot_direc,im_dot_loc,key_correct,loop_checkKeyMap.thisRepN,loop_checkKeyMap.thisTrialN,loop_checkKeyMap.thisN,loop_checkKeyMap.thisIndex,loop_block.thisRepN,loop_block.thisTrialN,loop_block.thisN,loop_block.thisIndex,loop_trials.thisRepN,loop_trials.thisTrialN,loop_trials.thisN,loop_trials.thisIndex,time_expBegin,txt_checkFiles_start.started,txt_checkFiles_start.stopped,txt_checkFiles_end.started,txt_checkFiles_end.stopped,key_checkFilesCompleteAccept.keys,key_checkFilesCompleteAccept.rt,key_checkFilesCompleteAccept.started,key_checkFilesCompleteAccept.stopped,txt_resFileClashWarn.started,txt_resFileClashWarn.stopped,key_resp_resClash.keys,key_resp_resClash.started,key_resp_resClash.stopped,str_keyInst_pract.started,str_keyInst_pract.stopped,key_startTask_pract.keys,key_startTask_pract.rt,key_startTask_pract.started,key_startTask_pract.stopped,txt_checkKeyMap.started,txt_checkKeyMap.stopped,key_resp_checkKeyMap.keys,key_resp_checkKeyMap.rt,key_resp_checkKeyMap.started,key_resp_checkKeyMap.stopped,text_checkKeyMapComplete.started,text_checkKeyMapComplete.stopped,key_beginTrials.keys,key_beginTrials.rt,key_beginTrials.started,key_beginTrials.stopped,text_getReady.started,text_getReady.stopped,time_trialBegin,txt_fix.started,txt_fix.stopped,im_trialFace.started,im_trialFace.stopped,im_trialFace_mask.started,im_trialFace_mask.stopped,Im_dot.started,Im_dot.stopped,key_respTrial.keys,key_respTrial.corr,key_respTrial.rt,key_respTrial.started,key_respTrial.stopped,time_trialEnd,str_rest.started,str_rest.stopped,key_endRest.keys,key_endRest.rt,key_endRest.started,key_endRest.stopped,time_restBegin,time_restEnd,Study Code,Participant ID,Researcher Name,Research Visit Number,Task Version Number,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,9.79999458650127e-06,18.225275899996632,None,20.22095629999967,None,space,0.6826115000003483,20.22095629999967,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,2024_Aug_03_1038,FDOT_140222,2021.2.3,60.05861721013985,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,None,None,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,2024_Aug_03_1038,FDOT_140222,2021.2.3,60.05861721013985,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.97115759999724,None,space,21.327097399997,20.97115759999724,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,2024_Aug_03_1038,FDOT_140222,2021.2.3,60.05861721013985,
A,..,a,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.330973999996786,None,a,21.980572100001154,42.330973999996786,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,2024_Aug_03_1038,FDOT_140222,2021.2.3,60.05861721013985,
K,:,k,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.34276320000208,None,k,1.5967815999974846,64.34276320000208,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,2024_Aug_03_1038,FDOT_140222,2021.2.3,60.05861721013985,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.96990299999743,None,space,7.5298190000030445,65.96990299999743,None,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,2024_Aug_03_1038,FDOT_140222,2021.2.3,60.05861721013985,
,,,stimControl/trialOrder_ver-1_block-pract.xlsx,1,hapHF,neutHF,ImagesToUse/HN6.bmp,ImagesToUse/HN6.bmp,ImagesToUse/UPB.bmp,happy,neutral,vert,bottom,k,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.52643250000256,None,58.341472199994314,75.54805119999946,76.55358310000156,76.54287459999614,76.55358310000156,76.55358310000156,76.63684549999743,76.63684549999743,None,k,1,0.8213731000068947,76.63684549999743,None,59.28546780000033,,,,,,,,,1,1,1,1,1,2024_Aug_03_1038,FDOT_140222,2021.2.3,60.05861721013985,
,,,stimControl/trialOrder_ver-1_block-pract.xlsx,2,neutLK,hapLK,ImagesToUse/NH8.bmp,ImagesToUse/NH8.bmp,ImagesToUse/DOWNT.bmp,neutral,happy,horz,top,a,,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.28611999999703,77.49186560000089,78.50350279999839,78.4700245999993,78.4873133000001,78.4873133000001,78.57005950000166,78.57005950000166,None,a,1,1.324681199999759,78.57005950000166,None,61.71834680000029,,,,,,,,,1,1,1,1,1,2024_Aug_03_1038,FDOT_140222,2021.2.3,60.05861721013985,
,,,stimControl/trialOrder_ver-1_block-pract.xlsx,3,fearAM,neutAM,ImagesToUse/FN7.bmp,ImagesToUse/jumbledmask1.bmp,ImagesToUse/DOWNT.bmp,fear,neutral,horz,top,a,,,,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.71907519999513,79.92430400000012,80.936901699999,80.92004569999699,80.936901699999,80.936901699999,81.01970250000159,81.01970250000159,None,a,1,0.6830532000021776,81.01970250000159,None,63.51845150000008,,,,,,,,,1,1,1,1,1,2024_Aug_03_1038,FDOT_140222,2021.2.3,60.05861721013985,
,,,stimControl/trialOrder_ver-1_block-pract.xlsx,4,neutLK,neutLK,ImagesToUse/NN8.bmp,ImagesToUse/jumbledmask1.bmp,ImagesToUse/DOWNB.bmp,neutral,neutral,horz,bottom,a,,,,,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.51930599999469,81.72610339999665,82.73679149999953,82.70350859999598,82.72011490000295,82.72011490000295,82.80356149999716,82.80356149999716,None,a,1,1.1232614000036847,82.80356149999716,None,65.75192319999769,,,,,,,,,1,1,1,1,1,2024_Aug_03_1038,FDOT_140222,2021.2.3,60.05861721013985,
