key_disp,resp_disp,key_inp,loop_checkKeyMap.thisRepN,loop_checkKeyMap.thisTrialN,loop_checkKeyMap.thisN,loop_checkKeyMap.thisIndex,time_expBegin,txt_checkFiles_start.started,txt_checkFiles_start.stopped,txt_checkFiles_end.started,txt_checkFiles_end.stopped,key_checkFilesCompleteAccept.keys,key_checkFilesCompleteAccept.rt,key_checkFilesCompleteAccept.started,key_checkFilesCompleteAccept.stopped,txt_resFileClashWarn.started,txt_resFileClashWarn.stopped,key_resp_resClash.keys,key_resp_resClash.started,key_resp_resClash.stopped,str_keyInst_pract.started,str_keyInst_pract.stopped,key_startTask_pract.keys,key_startTask_pract.rt,key_startTask_pract.started,key_startTask_pract.stopped,txt_checkKeyMap.started,txt_checkKeyMap.stopped,key_resp_checkKeyMap.keys,key_resp_checkKeyMap.rt,key_resp_checkKeyMap.started,key_resp_checkKeyMap.stopped,Study Code,Participant ID,Researcher Name,Research Visit Number,Task Version Number,date,expName,psychopyVersion,frameRate,
,,,,,,,7.1999384090304375e-06,7.975942000048235,None,9.960304900072515,None,space,0.5783356999745592,9.960304900072515,None,,,,,,,,,,,,,,,,,,11,11,1,1,1,2024_Aug_02_1543,FDOT_140222,2021.2.3,60.05457758222858,
,,,,,,,,,,,,,,,,None,None,None,None,None,,,,,,,,,,,,,11,11,1,1,1,2024_Aug_02_1543,FDOT_140222,2021.2.3,60.05457758222858,
,,,,,,,,,,,,,,,,,,,,,10.595925500034355,None,space,2.354129599989392,10.595925500034355,None,,,,,,,11,11,1,1,1,2024_Aug_02_1543,FDOT_140222,2021.2.3,60.05457758222858,
A,..,a,0,0,0,0,,,,,,,,,,,,,,,,,,,,,12.984053599997424,None,a,1.2822419999865815,12.984053599997424,None,11,11,1,1,1,2024_Aug_02_1543,FDOT_140222,2021.2.3,60.05457758222858,
K,:,k,0,1,1,1,,,,,,,,,,,,,,,,,,,,,14.296987500041723,None,k,0.6604304999345914,14.296987500041723,None,11,11,1,1,1,2024_Aug_02_1543,FDOT_140222,2021.2.3,60.05457758222858,
