key_disp,resp_disp,key_inp,trialOrderFile,im_stimNo,im_face_name_top,im_face_name_bottom,im_face_path,im_face_mask_path,im_dot_path,im_emo_top,im_emo_bottom,im_dot_direc,im_dot_loc,key_correct,loop_checkKeyMap.thisRepN,loop_checkKeyMap.thisTrialN,loop_checkKeyMap.thisN,loop_checkKeyMap.thisIndex,loop_block.thisRepN,loop_block.thisTrialN,loop_block.thisN,loop_block.thisIndex,loop_trials.thisRepN,loop_trials.thisTrialN,loop_trials.thisN,loop_trials.thisIndex,time_expBegin,txt_checkFiles_start.started,txt_checkFiles_start.stopped,txt_checkFiles_end.started,txt_checkFiles_end.stopped,key_checkFilesCompleteAccept.keys,key_checkFilesCompleteAccept.rt,key_checkFilesCompleteAccept.started,key_checkFilesCompleteAccept.stopped,txt_resFileClashWarn.started,txt_resFileClashWarn.stopped,key_resp_resClash.keys,key_resp_resClash.started,key_resp_resClash.stopped,str_keyInst_pract.started,str_keyInst_pract.stopped,key_startTask_pract.keys,key_startTask_pract.rt,key_startTask_pract.started,key_startTask_pract.stopped,txt_checkKeyMap.started,txt_checkKeyMap.stopped,key_resp_checkKeyMap.keys,key_resp_checkKeyMap.rt,key_resp_checkKeyMap.started,key_resp_checkKeyMap.stopped,text_checkKeyMapComplete.started,text_checkKeyMapComplete.stopped,key_beginTrials.keys,key_beginTrials.rt,key_beginTrials.started,key_beginTrials.stopped,text_getReady.started,text_getReady.stopped,time_trialBegin,txt_fix.started,txt_fix.stopped,im_trialFace.started,im_trialFace.stopped,im_trialFace_mask.started,im_trialFace_mask.stopped,Im_dot.started,Im_dot.stopped,key_respTrial.keys,key_respTrial.corr,key_respTrial.rt,key_respTrial.started,key_respTrial.stopped,time_trialEnd,str_rest.started,str_rest.stopped,key_endRest.keys,key_endRest.rt,key_endRest.started,key_endRest.stopped,time_restBegin,time_restEnd,Study Code,Participant ID,Researcher Name,Research Visit Number,Task Version Number,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,7.2999391704797745e-06,9.782765400013886,None,11.766180800041184,None,space,0.7141194000141695,11.766180800041184,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,11,mar,1,1,2024_Aug_02_1539,FDOT_140222,2021.2.3,60.17031812450534,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,None,None,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,11,mar,1,1,2024_Aug_02_1539,FDOT_140222,2021.2.3,60.17031812450534,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.539863400044851,None,space,40.12564380001277,12.539863400044851,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,11,mar,1,1,2024_Aug_02_1539,FDOT_140222,2021.2.3,60.17031812450534,
A,..,a,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.700479299994186,None,a,9.750749500002712,52.700479299994186,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,11,mar,1,1,2024_Aug_02_1539,FDOT_140222,2021.2.3,60.17031812450534,
K,:,k,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.47029860003386,None,k,1.15535070002079,62.47029860003386,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,11,mar,1,1,2024_Aug_02_1539,FDOT_140222,2021.2.3,60.17031812450534,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.65341819997411,None,space,13.136323199956678,63.65341819997411,None,,,,,,,,,,,,,,,,,,,,,,,,,,11,11,mar,1,1,2024_Aug_02_1539,FDOT_140222,2021.2.3,60.17031812450534,
,,,stimControl/trialOrder_ver-1_block-pract.xlsx,1,hapHF,neutHF,ImagesToUse/HN6.bmp,ImagesToUse/HN6.bmp,ImagesToUse/UPB.bmp,happy,neutral,vert,bottom,k,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.82112380000763,None,70.08874579996336,78.86471290001646,79.89150849997532,79.88700730004348,79.89150849997532,79.89150849997532,79.98691640002653,79.95391520007979,None,k,1,0.9016527000349015,79.95391520007979,None,71.12318419991061,,,,,,,,,11,11,mar,1,1,2024_Aug_02_1539,FDOT_140222,2021.2.3,60.17031812450534,
,,,stimControl/trialOrder_ver-1_block-pract.xlsx,2,neutLK,hapLK,ImagesToUse/NH8.bmp,ImagesToUse/NH8.bmp,ImagesToUse/DOWNT.bmp,neutral,happy,horz,top,a,,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.12339799990878,80.89534869999625,81.9037347000558,81.88698650000151,81.9037347000558,81.9037347000558,82.00333450001199,81.98708019999322,None,a,1,1.40561360004358,81.98708019999322,None,73.65910940000322,,,,,,,,,11,11,mar,1,1,2024_Aug_02_1539,FDOT_140222,2021.2.3,60.17031812450534,
,,,stimControl/trialOrder_ver-1_block-pract.xlsx,3,fearAM,neutAM,ImagesToUse/FN7.bmp,ImagesToUse/jumbledmask1.bmp,ImagesToUse/DOWNT.bmp,fear,neutral,horz,top,a,,,,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.65978360001463,83.4441203000024,84.45370980002917,84.43663080001716,84.45370980002917,84.45370980002917,84.53714969998691,84.53714969998691,None,k,0,0.5362818000139669,84.53714969998691,None,75.34207769995555,,,,,,,,,11,11,mar,1,1,2024_Aug_02_1539,FDOT_140222,2021.2.3,60.17031812450534,
,,,stimControl/trialOrder_ver-1_block-pract.xlsx,4,neutLK,neutLK,ImagesToUse/NN8.bmp,ImagesToUse/jumbledmask1.bmp,ImagesToUse/DOWNB.bmp,neutral,neutral,horz,bottom,a,,,,,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.34272299997974,85.11776280007325,86.1202759000007,86.1202759000007,86.13697840005625,86.13697840005625,86.23700149997603,86.22053529997356,None,a,1,0.8693314000265673,86.22053529997356,None,77.35932159994263,,,,,,,,,11,11,mar,1,1,2024_Aug_02_1539,FDOT_140222,2021.2.3,60.17031812450534,
,,,stimControl/trialOrder_ver-1_block-1.xlsx,1,neutHU,neutHU,ImagesToUse/NN6.bmp,ImagesToUse/NN6.bmp,ImagesToUse/UPB.bmp,neutral,neutral,vert,bottom,k,,,,,0,1,1,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.78640750003979,None,88.0515682999976,96.81753140001092,97.81951739999931,97.81951739999931,97.83645609999076,97.83645609999076,97.92000380007084,97.92000380007084,None,k,1,0.7749666000017896,97.92000380007084,None,88.95957969990559,87.12273790000472,None,space,7.645575700094923,87.12273790000472,None,77.36828870000318,85.02467139996588,11,11,mar,1,1,2024_Aug_02_1539,FDOT_140222,2021.2.3,60.17031812450534,
