key_disp,resp_disp,key_inp,trialOrderFile,str_name,str_valence,str_block,key_correct,loop_checkKeyMap.thisRepN,loop_checkKeyMap.thisTrialN,loop_checkKeyMap.thisN,loop_checkKeyMap.thisIndex,loop_block.thisRepN,loop_block.thisTrialN,loop_block.thisN,loop_block.thisIndex,loop_trials.thisRepN,loop_trials.thisTrialN,loop_trials.thisN,loop_trials.thisIndex,time_expBegin,txt_checkFiles_start.started,txt_checkFiles_start.stopped,txt_checkFiles_end.started,txt_checkFiles_end.stopped,key_checkFilesCompleteAccept.keys,key_checkFilesCompleteAccept.rt,key_checkFilesCompleteAccept.started,key_checkFilesCompleteAccept.stopped,txt_resFileClashWarn.started,txt_resFileClashWarn.stopped,key_resp_resClash.keys,key_resp_resClash.started,key_resp_resClash.stopped,str_keyInst.started,str_keyInst.stopped,key_startTask.keys,key_startTask.rt,key_startTask.started,key_startTask.stopped,txt_checkKeyMap.started,txt_checkKeyMap.stopped,key_resp_checkKeyMap.keys,key_resp_checkKeyMap.rt,key_resp_checkKeyMap.started,key_resp_checkKeyMap.stopped,text_checkKeyMapComplete.started,text_checkKeyMapComplete.stopped,key_beginTrials.keys,key_beginTrials.rt,key_beginTrials.started,key_beginTrials.stopped,text_getReady.started,text_getReady.stopped,str_fixationcross.started,str_fixationcross.stopped,im_trialWords.started,im_trialWords.stopped,time_trialBegin,key_respTrial.keys,key_respTrial.corr,key_respTrial.rt,key_respTrial.started,key_respTrial.stopped,time_trialEnd,str_rest.started,str_rest.stopped,key_endRest.keys,key_endRest.rt,key_endRest.started,key_endRest.stopped,time_restBegin,time_restEnd,Study Code,Participant ID,Researcher Name,Task Version Number,Research Visit Number,date,expName,psychopyVersion,frameRate,
,,,stimControl/trialOrder_ver-1_block-1.xlsx,Engenhoso,positive,1,q,,,,,0,0,0,0,0,6,6,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.58609119999892,74.08626139999978,74.06919769999513,74.56945769999584,56.24347660000058,None,0,,74.06919769999513,73.58609119999892,60.22619649999979,,,,,,,,,11,1,1,1,1,2024_Aug_03_1111,ECAT_140222,2021.2.3,59.90341173742319,
,,,stimControl/trialOrder_ver-1_block-1.xlsx,Decisivo,positive,1,q,,,,,0,0,0,0,0,7,7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.56918559999758,78.06939209999837,78.05280279999715,78.5530912999966,60.226751500005776,None,0,,78.05280279999715,77.56918559999758,64.20997770000395,,,,,,,,,11,1,1,1,1,2024_Aug_03_1111,ECAT_140222,2021.2.3,59.90341173742319,
,,,stimControl/trialOrder_ver-1_block-1.xlsx,Mente fechada,negative,1,o,,,,,0,0,0,0,0,8,8,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.55269679999765,82.05271889999858,82.0359446999937,82.53609460000007,64.21064350000233,None,0,,82.0359446999937,81.55269679999765,68.19324400000187,,,,,,,,,11,1,1,1,1,2024_Aug_03_1111,ECAT_140222,2021.2.3,59.90341173742319,
,,,stimControl/trialOrder_ver-1_block-1.xlsx,Lúcido,positive,1,q,,,,,0,0,0,0,0,9,9,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.53617839999788,86.03607929999998,86.01914340000076,86.51941989999614,68.19396380000398,None,0,,86.01914340000076,85.53617839999788,72.17615730000398,,,,,,,,,11,1,1,1,1,2024_Aug_03_1111,ECAT_140222,2021.2.3,59.90341173742319,
,,,stimControl/trialOrder_ver-1_block-1.xlsx,Insatisfeito,negative,1,o,,,,,0,0,0,0,0,10,10,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.51928159999807,90.0193128999963,90.00267279999389,90.50288839999848,72.17670870000438,None,0,,90.00267279999389,89.51928159999807,76.15950050000538,,,,,,,,,11,1,1,1,1,2024_Aug_03_1111,ECAT_140222,2021.2.3,59.90341173742319,
,,,stimControl/trialOrder_ver-1_block-1.xlsx,Sociável,positive,1,q,,,,,0,0,0,0,0,11,11,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.50251279999793,94.00261699999828,93.98568030000024,94.48594919999596,76.16012300000148,None,0,,93.98568030000024,93.50251279999793,80.142663300001,,,,,,,,,11,1,1,1,1,2024_Aug_03_1111,ECAT_140222,2021.2.3,59.90341173742319,
,,,stimControl/trialOrder_ver-1_block-1.xlsx,Relaxado,positive,1,q,,,,,0,0,0,0,0,12,12,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.48592780000035,97.98593949999486,97.96902739999496,98.46922039999481,80.14331940000557,None,0,,97.96902739999496,97.48592780000035,84.1258666000067,,,,,,,,,11,1,1,1,1,2024_Aug_03_1111,ECAT_140222,2021.2.3,59.90341173742319,
,,,stimControl/trialOrder_ver-1_block-1.xlsx,Agradável,positive,1,q,,,,,0,0,0,0,0,13,13,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.46920110000065,101.96912119999615,101.9524722999995,102.45253439999942,84.12655480000103,None,0,,101.9524722999995,101.46920110000065,88.10895200000232,,,,,,,,,11,1,1,1,1,2024_Aug_03_1111,ECAT_140222,2021.2.3,59.90341173742319,
,,,stimControl/trialOrder_ver-1_block-1.xlsx,Amável,positive,1,q,,,,,0,0,0,0,0,14,14,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.4525480999946,105.95251450000069,105.93565509999462,106.43590449999465,88.10944870000094,None,0,,105.93565509999462,105.4525480999946,92.0926768000063,,,,,,,,,11,1,1,1,1,2024_Aug_03_1111,ECAT_140222,2021.2.3,59.90341173742319,
,,,stimControl/trialOrder_ver-1_block-1.xlsx,Bisbilhoteiro,negative,1,o,,,,,0,0,0,0,0,15,15,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.43565419999504,109.93561799999588,109.91875119999895,110.41918669999723,92.09328140000434,None,0,,109.91875119999895,109.43565419999504,96.0757958000031,,,,,,,,,11,1,1,1,1,2024_Aug_03_1111,ECAT_140222,2021.2.3,59.90341173742319,
,,,stimControl/trialOrder_ver-1_block-1.xlsx,Interessante,positive,1,q,,,,,0,0,0,0,0,16,16,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113.41913519999798,113.91898609999771,113.90234219999547,114.4026331999994,96.07644810000056,None,0,,113.90234219999547,113.41913519999798,100.05883220000396,,,,,,,,,11,1,1,1,1,2024_Aug_03_1111,ECAT_140222,2021.2.3,59.90341173742319,
,,,stimControl/trialOrder_ver-1_block-1.xlsx,Insultuoso,negative,1,o,,,,,0,0,0,0,0,17,17,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117.40228569999454,117.90235179999581,117.88553419999516,118.38582339999994,100.05940610000107,None,0,,117.88553419999516,117.40228569999454,104.04233250000107,,,,,,,,,11,1,1,1,1,2024_Aug_03_1111,ECAT_140222,2021.2.3,59.90341173742319,
,,,stimControl/trialOrder_ver-1_block-1.xlsx,Agradecido,positive,1,q,,,,,0,0,0,0,0,18,18,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121.38560850000067,121.88571049999882,121.86882359999436,122.3689830000003,104.04287130000012,None,0,,121.86882359999436,121.38560850000067,108.02570350000315,,,,,,,,,11,1,1,1,1,2024_Aug_03_1111,ECAT_140222,2021.2.3,59.90341173742319,
,,,stimControl/trialOrder_ver-1_block-1.xlsx,Compreensivo,positive,1,q,,,,,0,0,0,0,0,19,19,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125.3688406999936,125.86873179999384,125.85193379999691,126.35230629999569,108.02629650000017,None,0,,125.85193379999691,125.3688406999936,112.00862580000103,,,,,,,,,11,1,1,1,1,2024_Aug_03_1111,ECAT_140222,2021.2.3,59.90341173742319,
,,,stimControl/trialOrder_ver-1_block-1.xlsx,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129.3582196999996,None,space,18.517929500005266,129.3582196999996,None,112.02261340000405,130.56139850000181,11,1,1,1,1,2024_Aug_03_1111,ECAT_140222,2021.2.3,59.90341173742319,
,,,stimControl/trialOrder_ver-1_block-2.xlsx,Negligente,negative,2,o,,,,,0,1,1,1,0,0,0,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,147.90171479999844,None,149.91419749999477,150.41786619999766,150.41786619999766,150.91856589999952,132.5804821000056,None,0,,150.41786619999766,None,136.57381430000532,,,,,,,,,11,1,1,1,1,2024_Aug_03_1111,ECAT_140222,2021.2.3,59.90341173742319,
,,,stimControl/trialOrder_ver-1_block-2.xlsx,Falso ,negative,2,o,,,,,0,1,1,1,0,1,1,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,153.91850300000078,154.418674499997,154.40178000000014,154.90219239999715,136.57427190000453,None,0,,154.40178000000014,None,140.5591329000017,,,,,,,,,11,1,1,1,1,2024_Aug_03_1111,ECAT_140222,2021.2.3,59.90341173742319,
