key_disp,resp_disp,key_inp,trialOrderFile,str_name,str_valence,str_block,key_correct,loop_checkKeyMap.thisRepN,loop_checkKeyMap.thisTrialN,loop_checkKeyMap.thisN,loop_checkKeyMap.thisIndex,loop_block.thisRepN,loop_block.thisTrialN,loop_block.thisN,loop_block.thisIndex,loop_trials.thisRepN,loop_trials.thisTrialN,loop_trials.thisN,loop_trials.thisIndex,time_expBegin,txt_checkFiles_start.started,txt_checkFiles_start.stopped,txt_checkFiles_end.started,txt_checkFiles_end.stopped,key_checkFilesCompleteAccept.keys,key_checkFilesCompleteAccept.rt,key_checkFilesCompleteAccept.started,key_checkFilesCompleteAccept.stopped,txt_resFileClashWarn.started,txt_resFileClashWarn.stopped,key_resp_resClash.keys,key_resp_resClash.started,key_resp_resClash.stopped,str_keyInst.started,str_keyInst.stopped,key_startTask.keys,key_startTask.rt,key_startTask.started,key_startTask.stopped,txt_checkKeyMap.started,txt_checkKeyMap.stopped,key_resp_checkKeyMap.keys,key_resp_checkKeyMap.rt,key_resp_checkKeyMap.started,key_resp_checkKeyMap.stopped,text_checkKeyMapComplete.started,text_checkKeyMapComplete.stopped,key_beginTrials.keys,key_beginTrials.rt,key_beginTrials.started,key_beginTrials.stopped,text_getReady.started,text_getReady.stopped,str_fixationcross.started,str_fixationcross.stopped,im_trialWords.started,im_trialWords.stopped,time_trialBegin,key_respTrial.keys,key_respTrial.corr,key_respTrial.rt,key_respTrial.started,key_respTrial.stopped,time_trialEnd,str_rest.started,str_rest.stopped,key_endRest.keys,key_endRest.rt,key_endRest.started,key_endRest.stopped,time_restBegin,time_restEnd,Study Code,Participant ID,Researcher Name,Task Version Number,Research Visit Number,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,6.8999361246824265e-06,8.403668800019659,None,10.38003060000483,None,space,4.4655298999277875,10.38003060000483,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,2024_Aug_02_1933,ECAT_140222,2021.2.3,59.93421623362354,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,None,None,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,2024_Aug_02_1933,ECAT_140222,2021.2.3,59.93421623362354,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.899560199934058,None,space,10.488149299984798,14.899560199934058,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,2024_Aug_02_1933,ECAT_140222,2021.2.3,59.93421623362354,
Q,GOSTAVA,q,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.414629100007005,None,q,1.1519337000790983,25.414629100007005,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,2024_Aug_02_1933,ECAT_140222,2021.2.3,59.93421623362354,
O,NÃO GOSTAVA,o,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.585233099991456,None,o,1.161299799918197,26.585233099991456,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,2024_Aug_02_1933,ECAT_140222,2021.2.3,59.93421623362354,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.768444899935275,None,space,11.872170199989341,27.768444899935275,None,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,2024_Aug_02_1933,ECAT_140222,2021.2.3,59.93421623362354,
,,,stimControl/trialOrder_ver-1_block-1.xlsx,Compreensivo,positive,1,q,,,,,0,0,0,0,0,0,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.69378740002867,None,41.686343600042164,42.20162990002427,42.1849187000189,42.68539340002462,33.31322539993562,q,1,1.5031018999870867,42.1849187000189,None,37.302958599990234,,,,,,,,,1,1,1,1,1,2024_Aug_02_1933,ECAT_140222,2021.2.3,59.93421623362354,
,,,stimControl/trialOrder_ver-1_block-1.xlsx,Sem vida,negative,1,o,,,,,0,0,0,0,0,1,1,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.68550569994841,46.185283300001174,46.16811039997265,46.668379300041124,37.30337510001846,None,0,,46.16811039997265,None,41.2877892999677,,,,,,,,,1,1,1,1,1,2024_Aug_02_1933,ECAT_140222,2021.2.3,59.93421623362354,
,,,stimControl/trialOrder_ver-1_block-1.xlsx,Interessante,positive,1,q,,,,,0,0,0,0,0,2,2,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.66824889997952,50.1681518999394,50.15161339996848,50.6517848999938,41.28897180000786,None,0,,50.15161339996848,49.66824889997952,45.26986949995626,,,,,,,,,1,1,1,1,1,2024_Aug_02_1933,ECAT_140222,2021.2.3,59.93421623362354,
,,,stimControl/trialOrder_ver-1_block-1.xlsx,Relaxado,positive,1,q,,,,,0,0,0,0,0,3,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.65151470003184,54.151896900031716,54.13504520000424,54.63521610002499,45.270335000008345,None,0,,54.13504520000424,53.65151470003184,49.25286939996295,,,,,,,,,1,1,1,1,1,2024_Aug_02_1933,ECAT_140222,2021.2.3,59.93421623362354,
