key_disp,resp_disp,key_inp,trialOrderFile,str_name,str_valence,str_block,key_correct,loop_checkKeyMap.thisRepN,loop_checkKeyMap.thisTrialN,loop_checkKeyMap.thisN,loop_checkKeyMap.thisIndex,loop_block.thisRepN,loop_block.thisTrialN,loop_block.thisN,loop_block.thisIndex,loop_trials.thisRepN,loop_trials.thisTrialN,loop_trials.thisN,loop_trials.thisIndex,time_expBegin,txt_checkFiles_start.started,txt_checkFiles_start.stopped,txt_checkFiles_end.started,txt_checkFiles_end.stopped,key_checkFilesCompleteAccept.keys,key_checkFilesCompleteAccept.rt,key_checkFilesCompleteAccept.started,key_checkFilesCompleteAccept.stopped,txt_resFileClashWarn.started,txt_resFileClashWarn.stopped,key_resp_resClash.keys,key_resp_resClash.started,key_resp_resClash.stopped,str_keyInst.started,str_keyInst.stopped,key_startTask.keys,key_startTask.rt,key_startTask.started,key_startTask.stopped,txt_checkKeyMap.started,txt_checkKeyMap.stopped,key_resp_checkKeyMap.keys,key_resp_checkKeyMap.rt,key_resp_checkKeyMap.started,key_resp_checkKeyMap.stopped,text_checkKeyMapComplete.started,text_checkKeyMapComplete.stopped,key_beginTrials.keys,key_beginTrials.rt,key_beginTrials.started,key_beginTrials.stopped,text_getReady.started,text_getReady.stopped,str_fixationcross.started,str_fixationcross.stopped,im_trialWords.started,im_trialWords.stopped,time_trialBegin,key_respTrial.keys,key_respTrial.corr,key_respTrial.rt,key_respTrial.started,key_respTrial.stopped,time_trialEnd,str_rest.started,str_rest.stopped,key_endRest.keys,key_endRest.rt,key_endRest.started,key_endRest.stopped,time_restBegin,time_restEnd,str_end.started,str_end.stopped,key_end.keys,key_end.rt,key_end.started,key_end.stopped,time_expEnd,Study Code,Participant ID,Researcher Name,Task Version Number,Research Visit Number,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,9.60000033956021e-06,18.35424459999922,None,20.3598994999993,None,space,135.10652629999822,20.3598994999993,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,2024_Aug_03_1024,ECAT_140222,2021.2.3,59.95574067199732,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,None,None,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,2024_Aug_03_1024,ECAT_140222,2021.2.3,59.95574067199732,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155.55192829999578,None,space,52.118486900006246,155.55192829999578,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,2024_Aug_03_1024,ECAT_140222,2021.2.3,59.95574067199732,
Q,GOSTAVA,q,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207.73523600000044,None,q,5.05867120000039,207.73523600000044,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,2024_Aug_03_1024,ECAT_140222,2021.2.3,59.95574067199732,
O,NÃO GOSTAVA,o,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,212.81218539999827,None,o,4.501501599996118,212.81218539999827,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,2024_Aug_03_1024,ECAT_140222,2021.2.3,59.95574067199732,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,217.34260429999995,None,space,17.394160199997714,217.34260429999995,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,2024_Aug_03_1024,ECAT_140222,2021.2.3,59.95574067199732,
,,,stimControl/trialOrder_ver-1_block-1.xlsx,Sem vida,negative,1,o,,,,,0,0,0,0,0,0,0,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,234.77190459999838,None,236.80206289999478,237.30894579999585,237.29407729999366,237.80901129999984,218.47746370000095,o,1,1.4098003000035533,237.29407729999366,None,222.44164029999956,,,,,,,,,,,,,,,,1,1,1,1,1,2024_Aug_03_1024,ECAT_140222,2021.2.3,59.95574067199732,
,,,stimControl/trialOrder_ver-1_block-1.xlsx,Bisbilhoteiro,negative,1,o,,,,,0,0,0,0,0,1,1,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240.77556249999907,241.2755432999984,241.25852440000017,241.75899399999616,222.44219099999464,o,1,1.253418000000238,241.25852440000017,None,226.42606249999517,,,,,,,,,,,,,,,,1,1,1,1,1,2024_Aug_03_1024,ECAT_140222,2021.2.3,59.95574067199732,
,,,stimControl/trialOrder_ver-1_block-1.xlsx,Amável,positive,1,q,,,,,0,0,0,0,0,2,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,244.75874479999766,245.2588573999965,245.24206859999686,245.74232779999875,226.4266637999972,q,1,0.6798304999974789,245.24206859999686,244.75874479999766,230.40919169999688,,,,,,,,,,,,,,,,1,1,1,1,1,2024_Aug_03_1024,ECAT_140222,2021.2.3,59.95574067199732,
,,,stimControl/trialOrder_ver-1_block-1.xlsx,Lúcido,positive,1,q,,,,,0,0,0,0,0,3,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,248.74213849999796,249.242210599994,249.2258348999967,249.72540259999369,230.409762700001,q,1,0.9211751999973785,249.2258348999967,248.74213849999796,234.39106829999946,,,,,,,,,,,,,,,,1,1,1,1,1,2024_Aug_03_1024,ECAT_140222,2021.2.3,59.95574067199732,
,,,stimControl/trialOrder_ver-1_block-1.xlsx,Insultuoso,negative,1,o,,,,,0,0,0,0,0,4,4,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,252.72477359999903,253.22511839999788,253.2085536999948,253.7087407999934,234.39138660000026,o,1,1.575833100003365,253.2085536999948,252.72477359999903,238.37579549999646,,,,,,,,,,,,,,,,1,1,1,1,1,2024_Aug_03_1024,ECAT_140222,2021.2.3,59.95574067199732,
,,,stimControl/trialOrder_ver-1_block-1.xlsx,Pessimista,negative,1,o,,,,,0,0,0,0,0,5,5,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,256.70856129999447,257.20874529999855,257.1920962000004,257.691885799999,238.37640249999822,o,1,1.7653141000046162,257.1920962000004,256.70856129999447,242.35974590000114,,,,,,,,,,,,,,,,1,1,1,1,1,2024_Aug_03_1024,ECAT_140222,2021.2.3,59.95574067199732,
,,,stimControl/trialOrder_ver-1_block-1.xlsx,Desonesto,negative,1,o,,,,,0,0,0,0,0,6,6,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,260.69207319999987,261.1919448999979,261.17503219999344,261.67534929999965,242.36060949999955,o,1,1.0948992000048747,261.17503219999344,260.69207319999987,246.34271929999522,,,,,,,,,,,,,,,,1,1,1,1,1,2024_Aug_03_1024,ECAT_140222,2021.2.3,59.95574067199732,
,,,stimControl/trialOrder_ver-1_block-1.xlsx,Relaxado,positive,1,q,,,,,0,0,0,0,0,7,7,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,264.6751595999958,265.1750146999984,265.1585430999985,265.65827709999576,246.34373069999856,q,1,0.7514661000022897,265.1585430999985,264.6751595999958,250.32567919999565,,,,,,,,,,,,,,,,1,1,1,1,1,2024_Aug_03_1024,ECAT_140222,2021.2.3,59.95574067199732,
,,,stimControl/trialOrder_ver-1_block-1.xlsx,Anti-social,negative,1,o,,,,,0,0,0,0,0,8,8,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,268.6588380999965,269.15867869999784,269.14177579999523,269.64211839999916,250.32621410000138,o,1,0.9706463999973494,269.14177579999523,268.6588380999965,254.30834740000137,,,,,,,,,,,,,,,,1,1,1,1,1,2024_Aug_03_1024,ECAT_140222,2021.2.3,59.95574067199732,
,,,stimControl/trialOrder_ver-1_block-1.xlsx,Indelicado,negative,1,o,,,,,0,0,0,0,0,9,9,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,272.64191259999643,273.1420319999961,273.125034699995,273.62497409999924,254.30887219999568,o,1,1.0069099999964237,273.125034699995,272.64191259999643,258.2921156000011,,,,,,,,,,,,,,,,1,1,1,1,1,2024_Aug_03_1024,ECAT_140222,2021.2.3,59.95574067199732,
,,,stimControl/trialOrder_ver-1_block-1.xlsx,Interessante,positive,1,q,,,,,0,0,0,0,0,10,10,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,276.6249888999955,277.12524850000045,277.10828899999615,277.6087805999996,258.2927053999956,q,1,0.870366399998602,277.10828899999615,276.6249888999955,262.2757292999959,,,,,,,,,,,,,,,,1,1,1,1,1,2024_Aug_03_1024,ECAT_140222,2021.2.3,59.95574067199732,
,,,stimControl/trialOrder_ver-1_block-1.xlsx,Insatisfeito,negative,1,o,,,,,0,0,0,0,0,11,11,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,280.60848429999896,281.10871719999705,281.09146399999736,281.5917627999952,262.276337299998,o,1,1.4404871000006096,281.09146399999736,280.60848429999896,266.2588603999975,,,,,,,,,,,,,,,,1,1,1,1,1,2024_Aug_03_1024,ECAT_140222,2021.2.3,59.95574067199732,
,,,stimControl/trialOrder_ver-1_block-1.xlsx,Engenhoso,positive,1,q,,,,,0,0,0,0,0,12,12,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,284.59174439999333,285.0916606999963,285.07458889999543,285.57514329999685,266.25949159999436,q,1,1.3938334000049508,285.07458889999543,284.59174439999333,270.24189179999667,,,,,,,,,,,,,,,,1,1,1,1,1,2024_Aug_03_1024,ECAT_140222,2021.2.3,59.95574067199732,
,,,stimControl/trialOrder_ver-1_block-1.xlsx,Agradável,positive,1,q,,,,,0,0,0,0,0,13,13,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,288.57514609999635,289.07483919999504,289.0583078999989,289.5583383999983,270.24258109999937,q,1,0.9774159000007785,289.0583078999989,288.57514609999635,274.22624579999683,,,,,,,,,,,,,,,,1,1,1,1,1,2024_Aug_03_1024,ECAT_140222,2021.2.3,59.95574067199732,
,,,stimControl/trialOrder_ver-1_block-1.xlsx,Rude,negative,1,o,,,,,0,0,0,0,0,14,14,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,292.5582882999952,293.05830559999595,293.0414535999953,293.5417018999942,274.22699479999574,o,1,1.0044882000001962,293.0414535999953,292.5582882999952,278.20906499999546,,,,,,,,,,,,,,,,1,1,1,1,1,2024_Aug_03_1024,ECAT_140222,2021.2.3,59.95574067199732,
,,,stimControl/trialOrder_ver-1_block-1.xlsx,Decisivo,positive,1,q,,,,,0,0,0,0,0,15,15,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,296.54146419999597,297.04160989999946,297.0247270999971,297.52483519999805,278.20974849999766,q,1,0.8202935000008438,297.0247270999971,296.54146419999597,282.1919010999991,,,,,,,,,,,,,,,,1,1,1,1,1,2024_Aug_03_1024,ECAT_140222,2021.2.3,59.95574067199732,
,,,stimControl/trialOrder_ver-1_block-1.xlsx,Mente fechada,negative,1,o,,,,,0,0,0,0,0,16,16,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300.52481499999703,301.024900599994,301.00800999999774,301.5082865999939,282.19241099999635,o,1,1.3284901000006357,301.00800999999774,300.52481499999703,286.1760439999998,,,,,,,,,,,,,,,,1,1,1,1,1,2024_Aug_03_1024,ECAT_140222,2021.2.3,59.95574067199732,
,,,stimControl/trialOrder_ver-1_block-1.xlsx,Sociável,positive,1,q,,,,,0,0,0,0,0,17,17,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,304.50796259999333,305.0079717999979,304.9914365999939,305.49167529999977,286.17692369999713,q,1,0.8385216999959084,304.9914365999939,304.50796259999333,290.1586642999973,,,,,,,,,,,,,,,,1,1,1,1,1,2024_Aug_03_1024,ECAT_140222,2021.2.3,59.95574067199732,
,,,stimControl/trialOrder_ver-1_block-1.xlsx,Agradecido,positive,1,q,,,,,0,0,0,0,0,18,18,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,308.49141459999373,308.9914884999962,308.97472059999563,309.4747367999953,290.1593589999975,q,1,1.1310370000064722,308.97472059999563,308.49141459999373,294.14178399999946,,,,,,,,,,,,,,,,1,1,1,1,1,2024_Aug_03_1024,ECAT_140222,2021.2.3,59.95574067199732,
,,,stimControl/trialOrder_ver-1_block-1.xlsx,Compreensivo,positive,1,q,,,,,0,0,0,0,0,19,19,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,312.47468399999343,312.9746539999978,312.95796079999855,313.4582725999935,294.14232129999436,q,1,0.7159728999977233,312.95796079999855,312.47468399999343,298.12546749999456,,,,,,,,,,,,,,,,1,1,1,1,1,2024_Aug_03_1024,ECAT_140222,2021.2.3,59.95574067199732,
,,,stimControl/trialOrder_ver-1_block-1.xlsx,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,316.4647670999984,None,space,4.157757900000433,316.4647670999984,None,298.1399136999971,302.31034499999805,,,,,,,,1,1,1,1,1,2024_Aug_03_1024,ECAT_140222,2021.2.3,59.95574067199732,
,,,stimControl/trialOrder_ver-1_block-2.xlsx,Esbanjador,negative,2,o,,,,,0,1,1,1,0,0,0,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,320.6413051999989,None,322.66516969999793,323.17652929999895,323.1577543999956,323.65866039999673,304.34116379999614,q,0,1.7549901000020327,323.1577543999956,None,308.3248958999975,,,,,,,,,,,,,,,,1,1,1,1,1,2024_Aug_03_1024,ECAT_140222,2021.2.3,59.95574067199732,
,,,stimControl/trialOrder_ver-1_block-2.xlsx,Equilibrado,positive,2,q,,,,,0,1,1,1,0,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,326.65784939999867,327.15780999999697,327.1410448999959,327.641715699996,308.325574399998,q,1,1.3262514999951236,327.1410448999959,None,312.3080817999944,,,,,,,,,,,,,,,,1,1,1,1,1,2024_Aug_03_1024,ECAT_140222,2021.2.3,59.95574067199732,
,,,stimControl/trialOrder_ver-1_block-2.xlsx,Desagradável,negative,2,o,,,,,0,1,1,1,0,2,2,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,330.6413547999982,331.1412080999944,331.1242537999933,331.6244805999959,312.3085864999957,o,1,0.8944124000045122,331.1242537999933,330.6413547999982,316.2917918999956,,,,,,,,,,,,,,,,1,1,1,1,1,2024_Aug_03_1024,ECAT_140222,2021.2.3,59.95574067199732,
,,,stimControl/trialOrder_ver-1_block-2.xlsx,Agradável,positive,2,q,,,,,0,1,1,1,0,3,3,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,334.62458389999665,335.1244261999964,335.10762739999336,335.6080290999962,316.2924271000011,q,1,0.7684900000022026,335.10762739999336,334.62458389999665,320.276186199997,,,,,,,,,,,,,,,,1,1,1,1,1,2024_Aug_03_1024,ECAT_140222,2021.2.3,59.95574067199732,
,,,stimControl/trialOrder_ver-1_block-2.xlsx,Neurótico,negative,2,o,,,,,0,1,1,1,0,4,4,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,338.6076563999959,339.10738459999993,339.09079939999356,339.5913247999997,320.2767687000014,q,0,2.628948000005039,339.09079939999356,338.6076563999959,324.25765500000125,,,,,,,,,,,,,,,,1,1,1,1,1,2024_Aug_03_1024,ECAT_140222,2021.2.3,59.95574067199732,
,,,stimControl/trialOrder_ver-1_block-2.xlsx,Feliz,positive,2,q,,,,,0,1,1,1,0,5,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,342.59117010000045,343.09107689999655,343.0740375999958,343.57446949999576,324.2583102999997,q,1,0.7204469999996945,343.0740375999958,342.59117010000045,328.2419107999958,,,,,,,,,,,,,,,,1,1,1,1,1,2024_Aug_03_1024,ECAT_140222,2021.2.3,59.95574067199732,
